"Date","Domaine","Source","URL","Extrait 300 car.","Mots-clés trouvés","Nature","Statut","Date revue","Note"
"2026-07-31","Environnement","Ministère de l'Environnement et de la Transition Écologique","https://www.environnement.gouv.ci/actualite/622","Développement Durable SISE 2026 : LES COLLECTIVITES TERRITORIALES APPELEES A RENFORCER LEUR ROLE DANS LA LUTTE CONTRE LE CHANGEMENT CLIMATIQUE Mercredi 29 Juillet 2026 Environnement ADAPTATION AUX CHANGEMENTS CLIMATIQUES : LE PROGRAMME NATIONAL CHANGEMENTS CLIMATIQUES RENFORCE LES CAPACITÉS DES…","changement climatique; environnement","Signal de veille","À analyser","",""
"2026-07-28","Eau / Assainissement","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/fete-de-lindependance-2026-le-ministre-amede-koffi-kouakou-evalue-les-dispositifs-deau-dassainissement-et-de-salubrite-3040","Société FETE DE L'INDEPENDANCE 2026 : LE MINISTRE AMEDE KOFFI KOUAKOU EVALUE LES DISPOSITIFS D'EAU, D’ASSAINISSEMENT ET DE SALUBRITE vendredi 24 juillet 2026 Économie PROJET D'AMENAGEMENT DES MARCHES DE BOUAKE ET DE YOPOUGON : L’AFD APPORTE UN FINANCEMENT COMPLEMENTAIRE jeudi 23 juillet 2026…","assainissement; salubrite","Signal de veille","À analyser","",""
"2026-07-28","Environnement","Ministère de l'Environnement et de la Transition Écologique","https://www.environnement.gouv.ci/actualite/621","Environnement ADAPTATION AUX CHANGEMENTS CLIMATIQUES : LE PROGRAMME NATIONAL CHANGEMENTS CLIMATIQUES RENFORCE LES CAPACITÉS DES ACTEURS LOCAUX AUTOUR DU MÉCANISME LOCAL Mardi 21 Juillet 2026 Développement Durable 2EME EDITION DU SISE 2026 : LE MINISTRE ABOU BAMBA APPELLE LES COLLECTIVITES A PASSER…","changement climatique; environnement","Signal de veille","À analyser","",""
"2026-07-28","Incendie / Sécurité","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/protection-civile-lonpc-met-en-avant-son-dispositif-de-prevention-de-secours-et-de-sensibilisation-pendant-la-saison-des-pluies-2026-0030","Société PROTECTION CIVILE : L’ONPC MET EN AVANT SON DISPOSITIF DE PREVENTION, DE SECOURS ET DE SENSIBILISATION PENDANT LA SAISON DES PLUIES 2026 mardi 07 juillet 2026 Éducation BACCALAURÉAT SESSION 2026: 122 360 ADMIS SUR 301 364 CANDIDATS PRÉSENTS, SOIT UN TAUX DE RÉUSSITE NATIONAL DE 40,6 %…","protection civile; onpc; prevention; protection","Signal de veille","À analyser","",""
"2026-07-28","Incendie / Sécurité","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/protection-civile-tout-savoir-sur-les-dispositifs-deployes-pendant-la-saison-des-pluies-ce-7-juillet-2026-9393","Société PROTECTION CIVILE : TOUT SAVOIR SUR LES DISPOSITIFS DEPLOYES PENDANT LA SAISON DES PLUIES, CE 7 JUILLET 2026 lundi 06 juillet 2026 Société ALOKO-DJESSEKRO : LE GOUVERNEMENT RAPPROCHE L’ACCÈS À L’EAU POTABLE DES POPULATIONS lundi 06 juillet 2026 Société ENGAGEMENT NATIONAL CONTRE LES…","eau potable; protection civile; protection","Signal de veille","À analyser","",""
"2026-07-28","Environnement","Ministère de l'Environnement et de la Transition Écologique","https://www.environnement.gouv.ci/actualite/606","Développement Durable JOURNEE INTERNATIONALE DE LA BIODIVERSITE : ABOU BAMBA APPELLE A UNE MOBILISATION GENERALE POUR SAUVER LE PATRIMOINE NATUREL IVOIRIEN Jeudi 11 Juin 2026 Environnement 12ᵉ ÉDITION DU PLAN POLLUMAR : LA CÔTE D’IVOIRE RENFORCE SON DISPOSITIF DE LUTTE CONTRE LES POLLUTIONS…","pollution; biodiversite; environnement","Signal de veille","À analyser","",""
"2026-07-28","Environnement","Ministère de l'Environnement et de la Transition Écologique","https://www.environnement.gouv.ci/actualite/605","Environnement 12ᵉ ÉDITION DU PLAN POLLUMAR : LA CÔTE D’IVOIRE RENFORCE SON DISPOSITIF DE LUTTE CONTRE LES POLLUTIONS MARINES DANS LA RÉGION DE SAN PEDRO Jeudi 11 Juin 2026 Environnement QNEC 2026 À SASSANDRA : LE MINISTRE ABOU BAMBA RÉAFFIRME L’OBJECTIF DE RESTAURER 30 000 HECTARES DE MANGROVES EN…","pollution; mangrove; environnement","Signal de veille","À analyser","",""
"2026-07-28","Environnement","Ministère de l'Environnement et de la Transition Écologique","https://www.environnement.gouv.ci/actualite/604","Environnement QNEC 2026 À SASSANDRA : LE MINISTRE ABOU BAMBA RÉAFFIRME L’OBJECTIF DE RESTAURER 30 000 HECTARES DE MANGROVES EN CÔTE D’IVOIRE Mercredi 10 Juin 2026 Environnement STABILISATION DU CORDON SABLEUX DE GRAND-LAHOU : LE GOUVERNEMENT MET FIN À PLUS DE 50 ANS DE CALVAIRE DES POPULATIONS…","mangrove; environnement","Signal de veille","À analyser","",""
"2026-07-28","Environnement","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/environnement-et-transition-ecologique-tout-savoir-sur-la-lutte-contre-les-effets-nefastes-du-changement-climatique-en-cote-divoire-1957","Société ENVIRONNEMENT ET TRANSITION ECOLOGIQUE : ""TOUT SAVOIR SUR"" LA LUTTE CONTRE LES EFFETS NEFASTES DU CHANGEMENT CLIMATIQUE EN COTE D’IVOIRE lundi 08 juin 2026 Société URBANISME : LE FONCIER URBAIN EN COTE D’IVOIRE AU CENTRE DU GOUV'SPACE, CE JEUDI 11 JUIN 2026 lundi 08 juin 2026 Société LUTTE…","changement climatique; environnement","Signal de veille","À analyser","",""
"2026-07-28","Environnement","Ministère de l'Environnement et de la Transition Écologique","https://www.environnement.gouv.ci/actualite/597","Environnement CHANGEMENT CLIMATIQUE : LA CÔTE D’IVOIRE SOUMET UN PROJET DE 20 MILLIONS USD AU FONDS POUR LES PERTES ET PRÉJUDICES Jeudi 04 Juin 2026 Environnement POLLUANTS ORGANIQUES PERSISTANTS : LA COTE D’IVOIRE ACTUALISE SA STRATEGIE NATIONALE POUR RENFORCER LA PROTECTION DE L’ENVIRONNEMENT…","protection de l'environnement; polluant; changement climatique; polluant organique persistant; environnement; protection","Signal de veille","À analyser","",""
"2026-07-28","Environnement","Ministère de l'Environnement et de la Transition Écologique","https://www.environnement.gouv.ci/actualite/596","Environnement POLLUANTS ORGANIQUES PERSISTANTS : LA COTE D’IVOIRE ACTUALISE SA STRATEGIE NATIONALE POUR RENFORCER LA PROTECTION DE L’ENVIRONNEMENT Lundi 01 Juin 2026 Environnement ENVIRONNEMENT : LE MINISTRE ABOU BAMBA RÉAFFIRME LA FERMETÉ DU GOUVERNEMENT APRÈS L’INCIDENT DE SUCAFCI Vendredi 22…","protection de l'environnement; polluant; polluant organique persistant; environnement; protection","Signal de veille","À analyser","",""
"2026-07-28","Déchets","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/dechets-a-abidjan-le-ministre-de-lassainissement-et-de-la-salubrite-amede-koffi-kouakou-donne-72-heures-pour-retablir-la-situation-9415","Société DÉCHETS A ABIDJAN : LE MINISTRE DE L’ASSAINISSEMENT ET DE LA SALUBRITÉ, AMÉDÉ KOFFI KOUAKOU, DONNE 72 HEURES POUR RÉTABLIR LA SITUATION lundi 01 juin 2026 Société COLONEL MARIUS YEO, DIRECTEUR DES SECOURS A L'OFFICE NATIONAL DE LA PROTECTION CIVILE (ONPC)... dimanche 31 mai 2026 Société…","dechet; assainissement; protection civile; onpc; salubrite; protection","Signal de veille","À analyser","",""
"2026-07-28","Incendie / Sécurité","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/colonel-marius-yeo-directeur-des-secours-a-loffice-national-de-la-protection-civile-onpc-0176","Société COLONEL MARIUS YEO, DIRECTEUR DES SECOURS A L'OFFICE NATIONAL DE LA PROTECTION CIVILE (ONPC)... dimanche 31 mai 2026 Société EAU POTABLE : LE GOUVERNEMENT INVESTIT DANS DE NOUVELLES STATIONS DE TRAITEMENT samedi 30 mai 2026 Société RESTITUTION DU DOCUMENT PNIPEI : LE MINISTRE ADAMA KAMARA…","eau potable; protection civile; onpc; protection","Signal de veille","À analyser","",""
"2026-07-28","Environnement","Ministère de l'Environnement et de la Transition Écologique","https://www.environnement.gouv.ci/actualite/594","Développement Durable JOURNÉE INTERNATIONALE DE LA BIODIVERSITÉ : LA DÉCLARATION DU GOUVERNEMENT PRONONCÉE PAR LE MINISTRE ABOU BAMBA Vendredi 22 Mai 2026 Environnement ENVIRONNEMENT : PLUS DE 110 MILLIONS DE FCFA D’ÉQUIPEMENTS REMIS À L’UNIVERSITÉ FÉLIX HOUPHOUËT-BOIGNY DE COCODY Jeudi 21 Mai…","biodiversite; environnement","Signal de veille","À analyser","",""
"2026-07-28","Environnement","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/ciapol-le-respect-des-normes-environnementales-la-prevention-des-pollutions-et-la-promotion-dun-developpement-industriel-durable-au-centre-dun-atelier-a-abengourou-3614","Société CIAPOL : LE RESPECT DES NORMES ENVIRONNEMENTALES, LA PRÉVENTION DES POLLUTIONS ET LA PROMOTION D’UN DÉVELOPPEMENT INDUSTRIEL DURABLE AU CENTRE D’UN ATELIER A ABENGOUROU vendredi 22 mai 2026 Société COMITÉS LOCAUX DE LA COUVERTURE MALADIE UNIVERSELLE : LE MINISTRE ADAMA KAMARA SALUE…","pollution; prevention","Signal de veille","À analyser","",""
"2026-07-28","Environnement","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/quinzaine-nationale-de-lenvironnement-et-du-climat-2026-les-auteurs-de-pollution-et-de-destruction-appeles-a-un-changement-de-comportement-2385","Société QUINZAINE NATIONALE DE L’ENVIRONNEMENT ET DU CLIMAT 2026 : LES AUTEURS DE POLLUTION ET DE DESTRUCTION APPELÉS A UN CHANGEMENT DE COMPORTEMENT dimanche 10 mai 2026 Santé SANTE MATERNELLE ET INFANTILE : DES INFRASTRUCTURES CONSTRUITES POUR LA SANTE DU COUPLE MERE-ENFANT samedi 09 mai 2026…","pollution; environnement","Signal de veille","À analyser","",""
"2026-07-28","Environnement","Ministère de l'Environnement et de la Transition Écologique","https://www.environnement.gouv.ci/actualite/587","Évènement CONSERVATION DE LA BIODIVERSITÉ : LE MINISTRE ABOU BAMBA ANNONCE LA CRÉATION PROCHAINE DE 5 AIRES MARINES PROTÉGÉES D’ICI 2039 Lundi 04 Mai 2026 Environnement CONTRÔLE ENVIRONNEMENTAL : TOLÉRANCE ZÉRO, LES CIMENTERIES ET BÉTONNIERS SOMMÉS DE SE CONFORMER Mardi 05 Mai 2026 Évènement QNEC…","biodiversite; environnement","Signal de veille","À analyser","",""
"2026-07-28","Incendie / Sécurité","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/protection-civile-le-gouvernement-renforce-le-dispositif-pour-faire-face-a-la-multiplication-des-risques-0883","Société PROTECTION CIVILE : LE GOUVERNEMENT RENFORCE LE DISPOSITIF POUR FAIRE FACE A LA MULTIPLICATION DES RISQUES lundi 04 mai 2026 Société PRIX NATIONAL D’EXCELLENCE 2026 : LE DÉLAI DE SOUMISSION DES CANDIDATURES PROROGÉ AU 15 MAI lundi 04 mai 2026 Société INSERTION DES JEUNES : LE GOUVERNEMENT…","protection civile; risque; protection","Signal de veille","À analyser","",""
"2026-07-28","Environnement","Ministère de l'Environnement et de la Transition Écologique","https://www.environnement.gouv.ci/actualite/581","Environnement GESTION DU LITTORAL IVOIRIEN : LE MINISTRE ABOU BAMBA SCELLE UN PARTENARIAT STRATEGIQUE A NOUAKCHOTT Mardi 28 Avril 2026 Environnement FORUM REGIONAL COTIER ET MARIN : LE MINISTRE ABOU BAMBA PLAIDE POUR UNE ECONOMIE BLEUE DURABLE ET INCLUSIVE Lundi 27 Avril 2026 Environnement…","littoral; environnement","Signal de veille","À analyser","",""
"2026-07-28","Eau / Assainissement","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/saison-des-pluies-le-gouvernement-mobilise-de-grands-moyens-pour-la-construction-et-lentretien-des-ouvrages-de-drainage-4209","Société SAISON DES PLUIES : LE GOUVERNEMENT MOBILISE DE GRANDS MOYENS POUR LA CONSTRUCTION ET L’ENTRETIEN DES OUVRAGES DE DRAINAGE mardi 21 avril 2026 Société PROTECTION DE LA PETITE ENFANCE : NASSÉNÉBA TOURÉ APPELLE A INVESTIR DANS LA GARDE DES ENFANTS, LEVIER DE DÉVELOPPEMENT INTÉGRAL mardi 21…","drainage; protection","Signal de veille","À analyser","",""
"2026-07-28","Eau / Assainissement","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/saison-des-pluies-le-plan-dassainissement-urbain-au-centre-de-la-tribune-tout-savoir-sur-ce-21-avril-2026-4780","Société SAISON DES PLUIES : LE PLAN D’ASSAINISSEMENT URBAIN AU CENTRE DE LA TRIBUNE “TOUT SAVOIR SUR”, CE 21 AVRIL 2026 lundi 20 avril 2026 Société EAU POTABLE : UNE NOUVELLE USINE DE TRAITEMENT MET FIN A LA PENURIE A BOUAFLÉ lundi 20 avril 2026 Société PROTECTION DE LA PETITE ENFANCE : LE…","assainissement; eau potable; protection","Signal de veille","À analyser","",""
"2026-07-28","Eau / Assainissement","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/eau-potable-une-nouvelle-usine-de-traitement-met-fin-a-la-penurie-a-bouafle-0364","Société EAU POTABLE : UNE NOUVELLE USINE DE TRAITEMENT MET FIN A LA PENURIE A BOUAFLÉ lundi 20 avril 2026 Société PROTECTION DE LA PETITE ENFANCE : LE GOUVERNEMENT AMÉLIORE L’ACCÈS À DES SERVICES DE GARDE D’ENFANTS lundi 20 avril 2026 Société SYSTÈME DE RÉCÉPISSÉS D'ENTREPOSAGE: LES AVANTAGES…","eau potable; protection","Signal de veille","À analyser","",""
"2026-07-28","Incendie / Sécurité","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/securite-bouake-accueille-les-festivites-de-la-36e-journee-mondiale-de-la-protection-civile-1547","Société SÉCURITÉ : BOUAKÉ ACCUEILLE LES FESTIVITÉS DE LA 36E JOURNÉE MONDIALE DE LA PROTECTION CIVILE samedi 18 avril 2026 Économie RÉGION DU SUD COMOÉ : LE CNLVC SATISFAIT DES ACTIONS DU COMITÉ LOCAL DE LUTTE CONTRE LA VIE CHÈRE vendredi 17 avril 2026 Économie PERFORMANCES DES ENTREPRISES…","protection civile; securite; protection","Signal de veille","À analyser","",""
"2026-07-28","Déchets","Ministère de l'Environnement et de la Transition Écologique","https://www.environnement.gouv.ci/actualite/575","Environnement GESTION DES DECHETS INDUSTRIELS DANGEREUX : LA CÔTE D’IVOIRE SE DOTE D’UN SYSTEME DIGITAL DE CONTRÔLE Mercredi 15 Avril 2026 Environnement QUINZAINE NATIONALE DE L’ENVIRONNEMENT : LE COMITE DE PILOTAGE TRACE LES GRANDES LIGNES DE L’EDITION 2026 Jeudi 09 Avril 2026 Environnement…","dechet; dechets industriels; gestion des dechets; environnement","Signal de veille","À analyser","",""
"2026-07-28","Eau / Assainissement","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/eau-potable-une-nouvelle-usine-de-traitement-met-fin-a-la-penurie-a-grand-lahou-1858","Société EAU POTABLE : UNE NOUVELLE USINE DE TRAITEMENT MET FIN A LA PENURIE A GRAND-LAHOU lundi 12 janvier 2026 Société LA CONSTRUCTION D’UNE « GRANDE CÔTE D’IVOIRE » : LES JEUNES RESTERONT AU CŒUR DES POLITIQUES PUBLIQUES lundi 12 janvier 2026 Société ENVIRONNEMENT : L'ANCIENNE DECHARGE D'AKOUEDO…","decharge; eau potable; environnement","Signal de veille","À analyser","",""
"2026-07-28","Déchets","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/environnement-lancienne-decharge-dakouedo-reconvertie-en-parc-urbain-1858","Société ENVIRONNEMENT : L'ANCIENNE DECHARGE D'AKOUEDO RECONVERTIE EN PARC URBAIN samedi 10 janvier 2026 Société RETOUR SUR L'ESSENTIEL DE L'ACTUALITÉ GOUVERNEMENTALE DU 05 AU 09 JANVIER 2026 samedi 10 janvier 2026 Économie TRANSPORT AÉRIEN : L'ACQUISITION DE DEUX AVIONS AIRBUS A330-900 NEO…","decharge; environnement","Signal de veille","À analyser","",""
"2026-07-28","Eau / Assainissement","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/acces-universel-a-lelectricite-et-a-leau-potable-le-gouvernement-va-evaluer-les-efforts-qui-restent-a-faire-1858","Société ACCÈS UNIVERSEL A L’ÉLECTRICITÉ ET A L’EAU POTABLE : LE GOUVERNEMENT VA ÉVALUER LES EFFORTS QUI RESTENT A FAIRE lundi 05 janvier 2026 Éducation RETOUR SUR L'ESSENTIEL DE L'ACTUALITÉ GOUVERNEMENTALE DU 29 DÉCEMBRE 2025 AU 02 JANVIER 2026 dimanche 04 janvier 2026 Société PROTECTION SOCIALE :…","eau potable; protection","Signal de veille","À analyser","",""
"2026-07-28","Environnement","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/lutte-contre-les-nuisances-sonores-le-gouvernement-renforce-la-repression-pour-une-meilleure-protection-1858","Société LUTTE CONTRE LES NUISANCES SONORES : LE GOUVERNEMENT RENFORCE LA REPRESSION POUR UNE MEILLEURE PROTECTION lundi 29 décembre 2025 Société RETOUR SUR L'ESSENTIEL DE L'ACTUALITÉ GOUVERNEMENTALE DU 22 AU 26 DÉCEMBRE 2025 dimanche 28 décembre 2025 Économie RESSOURCES HALIEUTIQUES : LE SECTEUR…","nuisance; protection","Signal de veille","À analyser","",""
"2026-07-28","Eau / Assainissement","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/nouveau-chateau-deau-de-galebre-une-reponse-a-la-problematique-de-lacces-a-leau-potable-pour-les-populations-1858","Société NOUVEAU CHATEAU D'EAU DE GALEBRE : UNE RÉPONSE A LA PROBLÉMATIQUE DE L'ACCES A L'EAU POTABLE POUR LES POPULATIONS vendredi 26 décembre 2025 Économie BAFING/ SÉCURITÉ ALIMENTAIRE : UN IMPORTANT PROJET DE PRODUCTION ET DE TRANSFORMATION DE SOJA, DE MAÏS ET DE BLÉ LANCÉ mercredi 24 décembre…","eau potable; securite","Signal de veille","À analyser","",""
"2026-07-28","Environnement","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/assinie-pollution-de-la-lagune-aby-le-ministre-assahore-konan-lance-un-appel-a-une-action-collective-contre-lorpaillage-clandestin-1858","Société ASSINIE / POLLUTION DE LA LAGUNE ABY : LE MINISTRE ASSAHORÉ KONAN LANCE UN APPEL A UNE ACTION COLLECTIVE CONTRE L'ORPAILLAGE CLANDESTIN jeudi 20 novembre 2025 Société VOIE DE CONTOURNEMENT D'ABIDJAN : LE MINISTRE AMÉDÉ KOFFI KOUAKOU ANNONCE LA FIN DES TRAVAUX DE LA Y4 POUR FIN DÉCEMBRE…","pollution; orpaillage","Signal de veille","À analyser","",""
"2026-07-28","Eau / Assainissement","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/daloa-acces-a-leau-potable-plus-de-20-000-habitants-du-quartier-orly-soulages-par-le-nouveau-chateau-deau-1858","Société DALOA / ACCES A L'EAU POTABLE : PLUS DE 20 000 HABITANTS DU QUARTIER ORLY SOULAGES PAR LE NOUVEAU CHATEAU D'EAU vendredi 14 novembre 2025 Société SITUATION SECURITAIRE GENERALE : LE CONSEIL NATIONAL DE SECURITE SATISFAIT DU CLIMAT DE PAIX ET DE STABILITE OBSERVE SUR L'ENSEMBLE DU…","eau potable; securite","Signal de veille","À analyser","",""
"2026-07-28","Environnement","Portail officiel du Gouvernement","https://www.gouv.ci/actualite/environnement-le-gouvernement-lance-linitiative-biofin-pour-proteger-la-biodiversite-et-renforcer-la-durabilite-1858","Société ENVIRONNEMENT : LE GOUVERNEMENT LANCE L'INITIATIVE BIOFIN POUR PROTÉGER LA BIODIVERSITÉ ET RENFORCER LA DURABILITÉ samedi 04 octobre 2025 Économie FILIÈRE PÉTROLIÈRE ET GAZIÈRE : LE PREMIER MINISTRE BEUGRÉ MAMBÉ LANCE LES TRAVAUX DE CONSTRUCTION DU COMPLEXE D'HYDRODÉSULFURATION DE LA SIR…","biodiversite; environnement","Signal de veille","À analyser","",""
